trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.43331482706998348, 'e': 0.6689717585696803}",20,0,-82.88007729382805,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
41,False,"{'a': 0.43418232393181966, 'e': 0.6622820409839835}",20,0,-61.36511547420571,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.43505155752353047, 'e': 0.6556592205741436}",20,0,-7.006472748327491,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.4359225313220515, 'e': 0.6491026283684022}",25,0,-111.49978402046503,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.43679524881127901, 'e': 0.6426116020847181}",20,0,-32.294877396955116,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.43766971348208417, 'e': 0.6361854860638709}",20,0,-124.58957108439442,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
46,False,"{'a': 0.43854592883232679, 'e': 0.6298236312032323}",20,0,-163.46344625126017,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
47,False,"{'a': 0.43942389836686946, 'e': 0.6235253948912}",25,0,-24.87564868830772,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.44030362559759156, 'e': 0.617290140942288}",30,0,-178.94640775879938,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.4411851140434031, 'e': 0.611117239532865}",20,0,-74.71318505585089,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.44206836723025911, 'e': 0.6050060671375364}",20,0,-6.016476877510428,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.4429533886911734, 'e': 0.598956006466161}",20,2,-25.022394673341957,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.44384018196623298, 'e': 0.5929664464014994}",25,0,-140.2285029043734,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.44472875060261235, 'e': 0.5870367819374844}",20,10,-1.4061992112367205,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.44561909815458711, 'e': 0.5811664141181095}",20,2,-111.07388734180857,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
55,False,"{'a': 0.44651122818354855, 'e': 0.5753547499769285}",30,0,-51.9162947195927,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.44740514425801808, 'e': 0.5696012024771592}",20,0,-40.005512557137926,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.44830084995366121, 'e': 0.5639051904523875}",20,6,-98.79966249537522,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
58,False,"{'a': 0.4491983488533019, 'e': 0.5582661385478637}",25,10,-28.61984453467738,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.45009764454693696, 'e': 0.5526834771623851}",20,0,-85.76972158422306,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.45099874063175033, 'e': 0.5471566423907612}",35,0,-87.34121933376795,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.45190164071212752, 'e': 0.5416850759668536}",20,0,-78.87127039240113,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.4528063483996701, 'e': 0.536268225207185}",35,0,-136.7163601733639,"{0: 24, 1: 0, 2: 9, 3: 0, 4: 2}",0
63,False,"{'a': 0.45371286731321003, 'e': 0.5309055429551132}",30,13,22.021808131923216,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
